Part,PartDesc,Family,Compart,CompartSize,Volume,Volume2,ProdIDM,ProdODM,BASELID,CasePack,CaseWeight,Application,Markets,Features
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP110,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",104.8,"7 ,⁄,10,2 ,⁄,18.1 X 25.4 X 6.8",26.8 X 27.9 X 7.5,,,200,28.2,"Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
SLP112A,FORMERLY SLP112,https://www.inlineplastics.com/product_line/surelock/,12,12 (3 3/8 X 1 1/4 X 3 3/8),,"89.6,2650",34.0 X 3.2 X 8.6,23.8 X 19.5 X 8.9,50/50,174,21.3,Cookies & Donuts,"Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP116,"Clamshell, featuring a barlock, 51oz, round footprint, 4 x 6.5 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",50.7,"4,6 ,⁄,3 ,⁄,10.2 X 16.5 X 7.9",17.8 X 18.7 X 8.4,,,300,20.3,"Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
SLP118,"Clamshell, featuring a barlock, 92oz, round footprint, 5.57 x 8.38 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",91.3,"5 ,⁄,8 ,⁄,3 ,⁄,14.1 X 21.3 X 8.4",22.5 X 23.5 X 9.2,,,200,22.5,"Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
SLP120,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",142,"7 ,⁄,10,3 ,⁄,18.1 X 25.4 X 9.2",26.8 X 27.9 X 9.8,,,200,34,"Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
SLP119,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",120,"6 ,⁄,9 ,⁄,3 ,⁄,17.1 X 24.0 X 8.9",25.1 X 26.0 X 9.7,,,200,29.3,"Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP14,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,4,4 (2 X 5 1/8 X 1 5/8),,"28.7,849",5.1 X 13.0 X 4.1,19.1 X 16.5 X 4.3,50/50,300,20.5,"Cookies & Donuts,Produce","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP15B,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",49,"7 ,⁄,3 ,⁄,3 ,⁄,18.7 X 9.5 X 8.7",20.3 X 12.1 X 9.2,,,500,27.6,"Cookies & Donuts,Danish & Loafcakes,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
