Part,PartDesc,Family,Compart,CompartSize,Volume,Volume2,ProdIDM,ProdODM,BASELID,CasePack,CaseWeight,Application,Markets,Features
TS20,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",20,"6 ,⁄,4 ,⁄,1 ,⁄,16.4 X 10.8 X 3.7",18.7 X 14.3 X 4.6,,,200,15.9,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS24,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",24,"6 ,⁄,4 ,⁄,1 ,⁄,16.4 X 10.8 X 4.9",18.7 X 14.3 X 5.9,,,200,15.9,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS20V,"Tamper evident & tamper resistant clamshell, 20oz vented, in a rectangular footprint, 6.25 x 4.07 single compartment",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",20,"6 ,⁄,4 ,⁄,1 ,⁄,16.4 X 10.8 X 3.7",18.7 X 14.3 X 4.6,,,200,15.9,"Deli,Produce,Salads & Sandwiches,Snacks",Bakery,"Channel Vents,Tamper Evident"
TS24PW,A family of 10 items available in 8 oz - 64 oz sizes with flat and dome lids,https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",24,"6 ,⁄,6 ,⁄,2 ,⁄,16.0 X 16.0 X 5.9",19.5 X 19.1 X 6.4,,,174,17.6,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TS24PWF,A family of 10 items available in 8 oz - 64 oz sizes with flat and dome lids,https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",24,"6 ,⁄,6 ,⁄,1 ,⁄,16.0 X 16.0 X 4.8",19.5 X 19.1 X 5.1,,,174,16.7,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS24RN,"Tamper evident & tamper resistant clamshell, 24oz bowl",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",24,"5 ,⁄,5 ,⁄,2 ,⁄,14.6 X 14.6 X 7.3",17.8 X 17.8 X 7.9,,,150,12.9,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS24RNV,"A family of 20+ items available in vented, shallow and dome lids",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",24,"5 ,⁄,5 ,⁄,2 ,⁄,14.6 X 14.6 X 7.3",17.8 X 17.8 X 7.9,,,150,12.9,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","C-Store,Food Service,Processor,Supermarket","Microvents,Tamper Evident"
TS24V,"Tamper evident & tamper resistant clamshell, 24oz, in a rectangular footprint, vented, 6.44 x 4.25 single compartment",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",24,"6 ,⁄,4 ,⁄,1 ,⁄,16.4 X 10.8 X 4.9",18.7 X 14.3 X 5.9,,,200,15.9,"Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket","Channel Vents,Tamper Evident"
,,,,,,,,,,,,,,
TS32,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",32,"6 ,⁄,4 ,⁄,2 ,⁄,16.4 X 10.8 X 6.2",18.7 X 14.3 X 7.1,,,200,18.1,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS32V,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",32,"6 ,⁄,4 ,⁄,2 ,⁄,16.4 X 10.8 X 6.2",18.7 X 14.3 X 7.1,,,200,18.1,"Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket","Channel Vents,Tamper Evident"
TS32PW,A family of 10 items available in 8 oz - 64 oz sizes with flat and dome lids,https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",32,"6 ,⁄,6 ,⁄,2 ,⁄,16.0 X 16.0 X 7.1",19.5 X 19.1 X 7.6,,,168,18.7,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS32PWF,A family of 10 items available in 8 oz - 64 oz sizes with flat and dome lids,https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",32,"6 ,⁄,6 ,⁄,2 ,⁄,16.0 X 16.0 X 5.9",19.5 X 19.1 X 6.2,,,168,18.7,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS32RN,"Tamper evident & tamper resistant clamshell, 32oz bowl",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",32,"5 ,⁄,5 ,⁄,3 ,⁄,14.6 X 14.6 X 9.2",17.8 X 17.8 X 9.8,,,150,14.5,"Cookies & Donuts,Muffins & Cupcakes,Produce,Salads & Sandwiches,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS35V,"Tamper evident & tamper resistant clamshell, 35oz, vented, in a rectangular footprint, 7.38 x 6.38 single compartment",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",35,"7 ,⁄,6 ,⁄,1 ,⁄,18.7 X 16.2 X 4.1",22.2 X 20.0 X 4.8,,,150,19.2,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket","Channel Vents,Tamper Evident"
,,,,,,,,,,,,,,
TS4008,"Tamper evident & tamper resistant clamshell, 8oz square, 4 x 4 footprint",https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",8,"4,4,1,10.2 X 10.2 X 2.5",12.2 X 12.7 X 4.0,,,300,13.1,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS4008R,"Tamper evident & tamper resistant clamshell, 8oz round",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",8,"4 ,⁄,4 ,⁄,1 ,⁄,10.6 X 10.6 X 2.9",13.5 X 13.0 X 4.3,,,340,20.8,"Cookies & Donuts,Produce,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TS4012R,"Tamper evident & tamper resistant clamshell, 12oz round",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",12,"4 ,⁄,4 ,⁄,1 ,⁄,10.6 X 10.6 X 4.4",13.5 X 13.0 X 5.9,,,320,22.7,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS4016DB,"Tamper evident & tamper resistant clamshell with dome base, 15oz square, 4 x 4 footprint",https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",15,"4,4,1 ,⁄,10.2 X 10.2 X 4.6",12.2 X 12.7 X 7.5,,,276,16.1,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS4016R,"Tamper evident & tamper resistant clamshell, 16oz round",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",16,"4 ,⁄,4 ,⁄,2 ,⁄,10.6 X 10.6 X 6.0",13.5 X 13.0 X 7.5,,,300,25.1,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS4024,"Tamper evident & tamper resistant clamshell, 24oz square, 4 x 4 footprint",https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",24,"4,4,3 ,⁄,10.2 X 10.2 X 8.9",12.2 X 12.7 X 10.0,,,264,21.3,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS4024DB,"Tamper evident & tamper resistant clamshell with dome base, 23oz square, 4 x 4 footprint",https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",23,"4,4,2 ,⁄,10.2 X 10.2 X 7.1",12.2 X 12.7 X 10.0,,,264,22.8,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TS4024R,"Tamper evident & tamper resistant clamshell, 24oz round",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",24,"4 ,⁄,4 ,⁄,3 ,⁄,10.6 X 10.6 X 9.2",13.5 X 13.0 X 10.6,,,280,25.7,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TS4025RN,Safe-T-Fresh® RoundWare® is a family of 6 items available in 8 oz- 32 oz capacities,https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",25.5,"4 ,⁄,4 ,⁄,4 ,⁄,10.6 X 10.6 X 10.6",13.5 X 13.0 X 12.1,,,270,24.8,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS4032,"Tamper evident & tamper resistant clamshell, 32oz square, 4 x 4 footprint",https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",32,"4,4,4 ,⁄,10.2 X 10.2 X 11.6",12.2 X 12.7 X 12.9,,,240,23.3,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS4032R,Safe-T-Fresh® RoundWare® is a family of 6 items available in 8 oz- 32 oz capacities,https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",32,"4 ,⁄,4 ,⁄,5 ,⁄,10.6 X 10.6 X 13.3",13.5 X 13.0 X 14.8,,,240,25.6,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TS48,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",48,"7 ,⁄,6 ,⁄,2 ,⁄,19.8 X 17.3 X 5.2",22.4 X 20.2 X 6.0,,,150,22.1,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS48PW,A family of 10 items available in 8 oz - 64 oz sizes with flat and dome lids,https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",48,"8,8,2 ,⁄,20.3 X 20.3 X 7.3",23.5 X 23.3 X 7.6,,,88,15.5,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS48RDP,"Tamper evident & tamper resistant clamshell, 48oz deep bowl",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",48,"5 ,⁄,5 ,⁄,4 ,⁄,14.6 X 14.6 X 11.3",17.8 X 17.8 X 11.9,,,138,17.4,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TS48RN,"Tamper evident & tamper resistant clamshell, 48oz bowl",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",48,"8 ,⁄,8 ,⁄,2 ,⁄,21.6 X 21.6 X 6.5",24.6 X 24.8 X 7.3,,,100,16.5,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS48V,"Tamper evident & tamper resistant clamshell, 48oz, in a rectangular footprint, 7.38 x 6.38 single compartment",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",48,"7 ,⁄,6 ,⁄,2,18.7 X 16.2 X 5.1",22.2 X 20.0 X 6.0,,,150,22.1,"Produce,Salads & Sandwiches","Bakery,C-Store,Food Service,Processor,Supermarket","Channel Vents,Tamper Evident"
TS52R3N,Tamper evident & tamper resistant clamshell with 3 compartments,https://www.inlineplastics.com/product_line/rounds/,3,3 (6 7/8 X 4 X 3 1/8),,"52,1538",17.5 X 10.2 X 7.9,24.6 X 24.8 X 8.6,100/0,100,22.1,"Cookies & Donuts,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TS5X5,"Tamper evident & tamper resistant clamshell, in a square footprint, 4.63 x 4.63 single compartment",https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",24.7,"4 ,⁄,4 ,⁄,2 ,⁄,11.7 X 11.7 X 6.0",14.9 X 14.6 X 6.7,,,272,12.7,"Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS5X5ST,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",26.9,"4 ,⁄,4 ,⁄,2 ,⁄,11.7 X 11.7 X 5.9",14.9 X 14.6 X 7.0,,,272,14.2,"Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS6,"Tamper evident & tamper resistant clamshell, 6oz, in a rectangular footprint, 3.75 x 4.38 single compartment",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",6,"3 ,⁄,4 ,⁄,⁄,9.5 X 11.1 X 2.2",12.4 X 14.6 X 2.9,,,240,9.2,"Cookies & Donuts,Deli,Produce,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS64,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",64,"7 ,⁄,6 ,⁄,2 ,⁄,19.8 X 17.3 X 6.8",22.4 X 20.2 X 7.8,,,150,24,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS64D,"Tamper evident & tamper resistant clamshell, 82oz, in a rectangular footprint, 7.81 x 6.81 single compartment",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",81.5,"7 ,⁄,6 ,⁄,3 ,⁄,19.8 X 17.3 X 8.1",22.4 X 20.2 X 8.7,,,150,24,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS64L,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",64,"7 ,⁄,6 ,⁄,2 ,⁄,19.8 X 17.3 X 6.8",22.4 X 20.2 X 7.8,,,150,20.2,"Cookies & Donuts,Produce,Salads & Sandwiches","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS64LV,"Tamper evident & tamper resistant clamshell, 64oz, vented, in a rectangular footprint, 7.38 x 6.38 single compartment",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",64,"7 ,⁄,6 ,⁄,2 ,⁄,18.7 X 16.2 X 7.3",22.2 X 20.0 X 7.9,,,150,20.2,"Cookies & Donuts,Produce,Salads & Sandwiches","Bakery,C-Store,Food Service,Processor,Supermarket","Channel Vents,Tamper Evident"
TS64PW,A family of 10 items available in 8 oz - 64 oz sizes with flat and dome lids,https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",64,"8,8,3 ,⁄,20.3 X 20.3 X 8.9",23.5 X 23.3 X 9.2,,,80,16.8,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS64RN,Tamper evident & tamper resistant clamshell 64oz bowl,https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",64,"8 ,⁄,8 ,⁄,3 ,⁄,21.6 X 21.6 X 8.3",24.6 X 24.8 X 8.9,,,100,16.5,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS64RPUB,64 OZ PUBLIX ROUND SAFE-T-FRESH,https://www.inlineplastics.com/product/ts64rpub/,n/a,"

                                            ",64,"8 ,⁄,8 ,⁄,3 ,⁄,21.6 X 21.6 X 9.5",24.6 X 24.8 X 10.2,,,100,17.1,,,
TS6T,Tamper evident & tamper resistant clamshell 6oz hangable,https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",6,"3 ,⁄,4 ,⁄,⁄,9.5 X 11.1 X 2.2",12.4 X 14.6 X 2.9,,,240,9.2,"Cookies & Donuts,Produce,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket","Hangable,Tamper Evident"
TS8,"Tamper evident & tamper resistant clamshell 8oz in a rectangular footprint, 3.75 x 4.38 single compartment",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",8,"3 ,⁄,4 ,⁄,1 ,⁄,9.5 X 11.1 X 3.3",12.4 X 14.6 X 4.0,,,240,9.8,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TS80RN,Tamper evident & tamper resistant clamshell 80oz bowl,https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",80,"8 ,⁄,8 ,⁄,3 ,⁄,21.6 X 21.6 X 9.5",24.6 X 24.8 X 10.2,,,96,19.2,"Cookies & Donuts,Muffins & Cupcakes,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS8CCR,Tamper evident & tamper resistant clamshell 8oz cup with a flat lid,https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",8,"3 ,⁄,3 ,⁄,2 ,⁄,8.9 X 8.9 X 6.0",11.1 X 11.3 X 6.2,,,272,8.6,"Cakes,Cookies & Donuts,Muffins & Cupcakes,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS8CCRD,Tamper evident & tamper resistant clamshell 8oz cup with a dome lid,https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",8,"3 ,⁄,3 ,⁄,3 ,⁄,8.9 X 8.9 X 8.6",11.1 X 11.3 X 8.7,,,272,9,"Cookies & Donuts,Muffins & Cupcakes,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TS8CCRDV,Tamper evident & tamper resistant clamshell 8oz vented cup with a dome lid,https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",8,"3 ,⁄,3 ,⁄,3 ,⁄,8.9 X 8.9 X 8.6",11.1 X 11.3 X 8.7,,,272,9,"Cookies & Donuts,Muffins & Cupcakes,Produce,Snacks","C-Store,Food Service,Processor,Supermarket","Microvents,Tamper Evident"
TS8CCRV,Tamper evident & tamper resistant clamshell 8oz vented cup,https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",8,"3 ,⁄,3 ,⁄,2 ,⁄,8.9 X 8.9 X 6.0",11.1 X 11.3 X 6.2,,,272,9,"Cookies & Donuts,Produce,Snacks","C-Store,Food Service,Processor,Supermarket","Microvents,Tamper Evident"
TS8PW,A family of 10 items available in 8 oz - 64 oz sizes with flat and dome lids,https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",8,"4 ,⁄,4 ,⁄,1 ,⁄,11.6 X 11.6 X 4.1",15.1 X 14.6 X 4.4,,,168,9.4,"Cakes,Cookies & Donuts,Produce,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TS8RN,Tamper evident & tamper resistant clamshell 8oz bowl,https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",8,"4 ,⁄,4 ,⁄,1 ,⁄,11.9 X 11.9 X 4.6",14.9 X 14.6 X 5.1,,,240,10.7,"Cookies & Donuts,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS90PJ,"Tamper evident & tamper resistant clamshell in a 90oz in a rectangular footprint, 7.38 x 6.38 single compartment",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",90,"7 ,⁄,6 ,⁄,4 ,⁄,18.7 X 16.2 X 10.8",22.2 X 20.0 X 11.0,,,128,25.5,"Cookies & Donuts,Deli,Produce","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TSSB1R,"A family of single and multi-compartmental items with smooth walls, great for on-the-go applications",https://www.inlineplastics.com/product_line/squares/,2,1 (5 3/16 x 5 3/16 x 1 13/16) 2 (2 3/4 x 2 3/4 x 1 13/16),,"21.5,636",13.3 X 13.3 X 4.6,15.6 X 16.2 X 5.6,100/0,252,22.5,"Cookies & Donuts,Muffins & Cupcakes,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TSSB24I,"A family of single and multi-compartmental items with smooth walls, great for on-the-go applications",https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",24.2,"5 ,⁄,5 ,⁄,1 ,⁄,13.3 X 13.3 X 4.8",15.6 X 16.2 X 6.0,,,252,24.3,"Cookies & Donuts,Muffins & Cupcakes,Produce,Snacks","C-Store,Food Service,Processor,Supermarket","Inserts,Tamper Evident"
,,,,,,,,,,,,,,
TSSB32,"A family of single and multi-compartmental items with smooth walls, great for on-the-go applications",https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",31.6,"5 ,⁄,5 ,⁄,2 ,⁄,13.7 X 13.7 X 5.7",15.6 X 16.2 X 6.7,,,252,27.3,"Cookies & Donuts,Muffins & Cupcakes,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TSSB3R,"A family of single and multi-compartmental items with smooth walls, great for on-the-go applications",https://www.inlineplastics.com/product_line/squares/,4,2 (2 9/16 x 2 3/16 x 1 13/16) 1 (2 15/16 x 2 1/4 x 1 13/16) 1 (2 5/8 x 2 5/8 x 1 13/16),,"17.9,529",13.3 X 13.3 X 4.6,15.6 X 16.2 X 5.7,100/0,252,22.5,"Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TSSB48,"A family of single and multi-compartmental items with smooth walls, great for on-the-go applications",https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",48,"5 ,⁄,5 ,⁄,3 ,⁄,13.3 X 13.3 X 9.2",15.6 X 16.2 X 10.5,,,216,28.3,"Cookies & Donuts,Muffins & Cupcakes,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TSSB4C,"A family of single and multi-compartmental items with smooth walls, great for on-the-go applications",https://www.inlineplastics.com/product_line/squares/,4,2 7/16 X 2 7/16 X 1,,"9.6,282",13.3 X 13.3 X 2.5,15.6 X 16.2 X 3.8,100/0,252,20,"Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TSSWR,"A family of single and multi-compartmental items with smooth walls, great for on-the-go applications",https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",21.5,"5 ,⁄,5 ,⁄,2,13.3 X 13.5 X 5.1",15.6 X 16.2 X 6.5,,,252,20,"Cakes,Deli,Produce,Salads & Sandwiches","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
VF8050,"Perimeter seal clamshell, square footprint, with a 4.63 x 4.63 single compartment",https://www.inlineplastics.com/product_line/visiblyfresh/,1,"

                                            ",24.3,"4 ,⁄,4 ,⁄,2 ,⁄,11.7 X 11.7 X 6.2",14.1 X 14.3 X 6.5,,,330,13.1,"Cookies & Donuts,Deli,Muffins & Cupcakes,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
,,,,,,,,,,,,,,
VF8090,"Perimeter seal clamshell, square footprint, with a 8 x 6.88 single compartment",https://www.inlineplastics.com/product_line/visiblyfresh/,1,"

                                            ",86.9,"8,6 ,⁄,3 ,⁄,20.3 X 17.5 X 8.3",22.7 X 20.0 X 8.6,,,110,12.3,"Cookies & Donuts,Muffins & Cupcakes,Produce,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
VF8091,"Perimeter seal clamshell, square footprint, with a 8 x 6.88 single compartment",https://www.inlineplastics.com/product_line/visiblyfresh/,1,"

                                            ",67.9,"8,6 ,⁄,2 ,⁄,20.3 X 17.5 X 7.0",22.7 X 20.0 X 7.3,,,110,11.7,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
VF8092,"Perimeter seal clamshell, square footprint, with a 8 x 6.88 single compartment",https://www.inlineplastics.com/product_line/visiblyfresh/,1,"

                                            ",48.6,"8,6 ,⁄,1 ,⁄,20.3 X 17.5 X 4.9",22.7 X 20.0 X 5.2,,,110,11,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
VF8060,"Perimeter seal clamshell, square footprint, with a 5.38 x 4.94 single compartment",https://www.inlineplastics.com/product_line/visiblyfresh/,1,"

                                            ",36,"5 ,⁄,4 ,⁄,2 ,⁄,13.7 X 12.5 X 7.5",16.0 X 15.2 X 7.8,,,330,15.8,"Cookies & Donuts,Deli,Muffins & Cupcakes,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
VF8109,Perimeter seal clamshell with 3 compartments in a square 9.38 x 9.38 footprint,https://www.inlineplastics.com/product_line/visiblyfresh/,3,1 (8 7/16 X 3 9/16 X 2 7/8)   2 (3 3/4 X 2 7/8 X 2 7/8),,"87.5,2588",21.4 X 21.4 X 7.3,23.8 X 23.8 X 7.6,50/50,100,13.9,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
VF8100,"Perimeter seal clamshell, square footprint, with a 8.44 x 8.44 single compartment",https://www.inlineplastics.com/product_line/visiblyfresh/,1,"

                                            ",91.3,"8 ,⁄,8 ,⁄,2 ,⁄,21.4 X 21.4 X 7.3",23.8 X 23.8 X 7.6,,,100,13.2,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
VPP727A,"Clamshell, featuring a barlock, in a rectangular footprint,  7.88 x 6.75 single compartment",https://www.inlineplastics.com/product_line/valupack/,1,"

                                            ",53.4,"7 ,⁄,6 ,⁄,2 ,⁄,20.0 X 17.1 X 5.2",21.4 X 20.2 X 5.4,,,200,16.8,"Cookies & Donuts,Salads & Sandwiches","Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
